iter	RMSE
0	9270.975073
1	8749.671605
2	8270.390978
3	7848.029166
4	7454.019844
5	7093.853573
6	6775.009831
7	6484.960874
8	6225.247164
9	5993.657452
10	5784.844145
11	5577.093214
12	5406.437448
13	5241.088775
14	5089.017948
15	4954.641192
16	4834.431904
17	4715.696828
18	4609.278894
19	4512.202886
20	4418.494461
21	4335.458896
22	4258.558144
23	4197.073149
24	4135.839381
25	4077.417924
26	4011.698641
27	3963.784472
28	3920.857015
29	3869.403896
30	3816.252743
31	3781.303013
32	3751.343381
33	3719.945219
34	3691.536171
35	3667.431067
36	3643.357302
37	3617.903402
38	3592.209538
39	3545.027059
40	3512.985377
41	3495.367652
42	3472.949246
43	3452.754486
44	3438.555758
45	3412.785076
46	3396.610701
47	3382.242639
48	3364.843604
49	3343.657043
50	3327.808883
51	3318.165581
52	3303.967222
53	3286.062925
54	3270.043254
55	3254.188318
56	3246.125906
57	3233.836844
58	3224.544169
59	3217.091297
60	3207.704718
61	3198.989343
62	3188.879645
63	3173.493788
64	3160.021842
65	3145.912625
66	3140.591156
67	3125.660594
68	3118.17044
69	3110.438651
70	3104.920071
71	3095.784814
72	3081.931345
73	3070.437195
74	3061.035373
75	3055.583069
76	3049.212095
77	3039.15921
78	3031.201223
79	3025.912513
80	3015.767495
81	3009.285578
82	3002.63857
83	2994.388411
84	2986.908607
85	2978.893213
86	2970.791388
87	2965.78301
88	2961.660395
89	2958.220075
90	2948.469353
91	2939.697237
92	2930.29562
93	2923.202772
94	2919.656097
95	2912.745828
96	2910.13967
97	2905.02326
98	2895.839119
99	2892.898833
100	2883.387553
101	2876.635278
102	2868.402254
103	2863.039117
104	2855.618846
105	2850.054086
106	2845.057045
107	2837.744215
108	2835.081825
109	2824.223127
110	2816.128966
111	2811.043953
112	2802.924283
113	2797.702473
114	2789.967834
115	2784.661788
116	2780.691355
117	2777.859736
118	2772.612928
119	2763.596209
120	2758.528611
121	2753.83475
122	2751.521451
123	2748.022618
124	2744.371118
125	2738.313703
126	2733.229842
127	2727.699515
128	2723.648042
129	2720.702865
130	2714.736063
131	2708.914651
132	2702.240658
133	2698.009519
134	2691.558487
135	2686.783226
136	2682.52267
137	2677.512134
138	2673.083966
139	2668.3426
140	2665.109027
141	2659.394664
142	2654.6891
143	2652.387449
144	2647.309498
145	2642.071281
146	2639.682537
147	2635.903964
148	2630.281117
149	2627.68033
150	2623.495529
151	2618.3632
152	2616.27834
153	2610.980823
154	2606.950396
155	2602.940244
156	2598.966386
157	2592.870809
158	2587.404438
159	2582.742279
160	2579.155348
161	2576.107884
162	2571.969151
163	2567.035371
164	2564.034444
165	2561.47359
166	2558.982788
167	2555.471315
168	2552.720352
169	2548.699999
170	2545.694887
171	2541.208365
172	2536.406351
173	2532.678703
174	2530.282534
175	2528.466747
176	2524.606168
177	2522.454422
178	2518.745756
179	2514.522483
180	2512.001664
181	2510.272005
182	2508.637828
183	2507.633879
184	2504.034775
185	2499.472214
186	2495.545485
187	2491.954266
188	2487.670218
189	2484.90387
190	2481.709854
191	2479.443028
192	2476.912193
193	2473.323573
194	2471.480439
195	2468.848637
196	2467.078923
197	2466.58536
198	2465.028178
199	2461.441297
200	2461.281117
201	2461.13464
202	2456.475084
203	2453.736678
204	2450.877281
205	2448.593056
206	2445.321145
207	2442.973265
208	2441.52574
209	2439.217067
210	2436.470454
211	2436.156898
212	2433.029238
213	2430.036165
214	2428.251072
215	2424.465443
216	2423.083924
217	2422.960664
218	2419.833877
219	2416.79983
220	2415.566502
221	2413.249054
222	2410.389254
223	2408.71528
224	2408.442236
225	2405.410335
226	2403.338008
227	2401.075523
228	2400.785491
229	2399.819956
230	2399.710462
231	2395.924215
232	2394.491015
233	2391.747209
234	2390.393362
235	2386.938237
236	2383.55138
237	2380.815703
238	2380.294579
239	2378.387095
240	2376.104567
241	2373.138754
242	2371.153815
243	2369.014548
244	2367.357108
245	2365.068882
246	2362.182944
247	2361.448718
248	2359.445954
249	2359.353357
250	2358.217719
251	2356.438039
252	2353.97229
253	2352.539298
254	2351.778996
255	2349.43196
256	2347.524675
257	2345.653653
258	2344.151933
259	2342.108131
260	2339.133355
261	2337.184345
262	2336.979582
263	2335.468449
264	2331.517268
265	2329.557655
266	2326.143419
267	2324.211546
268	2322.534715
269	2319.491123
270	2319.273497
271	2317.590599
272	2316.940914
273	2313.46878
274	2311.631033
275	2311.605789
276	2309.191821
277	2306.996624
278	2304.751913
279	2302.97046
280	2301.526822
