iter	Passed	Remaining
0	177	177233
1	183	91373
2	188	62513
3	193	48248
4	198	39572
5	203	33753
6	208	29561
7	213	26470
8	218	24040
9	223	22097
10	227	20488
11	232	19159
12	237	18029
13	242	17048
14	246	16186
15	251	15450
16	255	14780
17	260	14195
18	264	13678
19	269	13203
20	273	12768
21	278	12373
22	282	12013
23	287	11678
24	291	11379
25	296	11090
26	300	10828
27	304	10581
28	309	10346
29	313	10138
30	318	9943
31	322	9762
32	326	9579
33	331	9412
34	335	9243
35	339	9090
36	343	8946
37	347	8803
38	352	8676
39	357	8572
40	361	8466
41	366	8353
42	370	8244
43	375	8152
44	379	8049
45	384	7970
46	388	7880
47	392	7794
48	397	7713
49	401	7633
50	406	7561
51	410	7490
52	415	7416
53	419	7346
54	423	7279
55	427	7211
56	431	7142
57	435	7075
58	439	7012
59	443	6947
60	447	6889
61	451	6827
62	455	6773
63	459	6722
64	464	6675
65	468	6625
66	471	6572
67	476	6526
68	480	6481
69	484	6436
70	488	6393
71	492	6347
72	496	6306
73	500	6267
74	505	6230
75	509	6188
76	512	6148
77	517	6114
78	521	6078
79	525	6039
80	529	6005
81	533	5973
82	537	5938
83	541	5907
84	545	5873
85	549	5844
86	554	5814
87	558	5785
88	562	5757
89	566	5731
90	571	5707
91	575	5683
92	580	5661
93	584	5638
94	589	5611
95	593	5589
96	597	5564
97	602	5541
98	606	5520
99	610	5493
100	614	5470
101	618	5447
102	622	5424
103	627	5401
104	631	5378
105	635	5356
106	639	5334
107	643	5313
108	647	5294
109	652	5278
110	657	5264
111	662	5255
112	668	5250
113	673	5235
114	678	5220
115	683	5205
116	687	5190
117	692	5175
118	697	5160
119	701	5146
120	706	5131
121	710	5113
122	714	5093
123	718	5073
124	722	5058
125	727	5044
126	731	5027
127	735	5012
128	740	4997
129	744	4981
130	748	4966
131	752	4951
132	757	4936
133	761	4921
134	765	4906
135	769	4890
136	773	4873
137	777	4858
138	782	4844
139	786	4832
140	790	4817
141	795	4805
142	799	4791
143	803	4776
144	807	4762
145	811	4749
146	815	4733
147	819	4717
148	823	4703
149	827	4688
150	831	4675
151	835	4662
152	839	4648
153	844	4636
154	848	4623
155	852	4610
156	856	4597
157	860	4586
158	865	4575
159	869	4564
160	873	4552
161	878	4542
162	882	4531
163	887	4522
164	892	4516
165	897	4508
166	902	4502
167	908	4499
168	913	4493
169	919	4488
170	923	4478
171	928	4467
172	932	4457
173	937	4448
174	941	4440
175	946	4432
176	952	4426
177	956	4417
178	961	4410
179	966	4403
180	971	4395
181	976	4387
182	981	4380
183	985	4371
184	990	4365
185	995	4358
186	1000	4351
187	1006	4345
188	1010	4337
189	1015	4328
190	1019	4319
191	1024	4310
192	1028	4301
193	1033	4292
194	1037	4283
195	1041	4273
196	1045	4262
197	1049	4250
198	1053	4241
199	1058	4232
200	1061	4220
201	1065	4208
202	1069	4199
203	1073	4189
204	1078	4180
205	1082	4170
206	1086	4162
207	1090	4153
208	1094	4144
209	1099	4134
210	1103	4125
211	1106	4114
212	1111	4106
213	1115	4097
214	1119	4087
215	1124	4079
216	1127	4069
217	1131	4059
218	1135	4050
219	1140	4043
220	1144	4033
221	1148	4024
222	1152	4015
223	1156	4006
224	1160	3995
225	1164	3987
226	1168	3978
227	1172	3969
228	1176	3959
229	1179	3949
230	1183	3939
231	1187	3931
232	1192	3924
233	1196	3916
234	1200	3906
235	1204	3898
236	1208	3891
237	1212	3882
238	1216	3873
239	1220	3865
240	1224	3856
241	1228	3848
242	1232	3840
243	1237	3833
244	1241	3824
245	1245	3817
246	1249	3808
247	1253	3799
248	1256	3791
249	1260	3781
250	1264	3774
251	1269	3767
252	1273	3759
253	1277	3751
254	1281	3744
255	1285	3736
256	1289	3729
257	1294	3721
258	1298	3714
259	1302	3707
260	1306	3700
261	1310	3692
262	1314	3684
263	1318	3676
264	1322	3668
265	1326	3660
266	1331	3654
267	1335	3646
268	1339	3639
269	1343	3632
270	1347	3624
271	1351	3617
272	1355	3609
273	1359	3603
274	1363	3595
275	1367	3586
276	1371	3579
277	1375	3573
278	1380	3567
279	1384	3559
280	1388	3552
281	1392	3546
282	1397	3539
283	1400	3531
284	1405	3524
285	1409	3517
286	1413	3510
287	1417	3503
288	1421	3498
289	1426	3492
290	1430	3485
291	1435	3479
292	1439	3474
293	1443	3467
294	1448	3460
295	1452	3453
296	1456	3447
297	1460	3439
298	1463	3432
299	1467	3424
300	1472	3418
301	1476	3412
302	1480	3405
303	1484	3398
304	1488	3392
305	1492	3385
306	1496	3378
307	1500	3372
308	1505	3366
309	1509	3359
310	1513	3352
311	1517	3346
312	1521	3339
313	1525	3333
314	1530	3327
315	1534	3320
316	1538	3314
317	1542	3307
318	1546	3300
319	1550	3294
320	1554	3287
321	1557	3280
322	1561	3273
323	1566	3267
324	1570	3261
325	1574	3254
326	1578	3247
327	1581	3241
328	1586	3235
329	1590	3228
330	1594	3222
331	1598	3216
332	1603	3211
333	1607	3205
334	1611	3199
335	1616	3195
336	1621	3189
337	1625	3183
338	1629	3177
339	1633	3171
340	1638	3165
341	1642	3159
342	1646	3153
343	1650	3147
344	1654	3141
345	1658	3135
346	1663	3129
347	1667	3123
348	1671	3117
349	1675	3110
350	1678	3104
351	1683	3098
352	1687	3093
353	1691	3087
354	1696	3081
355	1700	3076
356	1704	3070
357	1709	3065
358	1713	3059
359	1717	3053
360	1721	3047
361	1725	3041
362	1729	3034
363	1733	3029
364	1737	3023
365	1741	3017
366	1746	3011
367	1749	3005
368	1754	2999
369	1758	2994
370	1763	2989
371	1767	2983
372	1771	2977
373	1775	2971
374	1779	2965
375	1783	2959
376	1786	2952
377	1790	2946
378	1794	2940
379	1798	2934
380	1802	2928
381	1807	2923
382	1811	2918
383	1815	2912
384	1819	2906
385	1823	2900
386	1827	2895
387	1831	2889
388	1835	2883
389	1840	2878
390	1844	2873
391	1849	2867
392	1853	2862
393	1858	2857
394	1862	2852
395	1866	2846
396	1870	2840
397	1874	2834
398	1877	2828
399	1881	2822
400	1885	2816
401	1889	2810
402	1893	2805
403	1898	2800
404	1902	2794
405	1906	2788
406	1910	2783
407	1914	2777
408	1918	2772
409	1922	2766
410	1926	2760
411	1930	2755
412	1934	2750
413	1939	2744
414	1943	2739
415	1947	2734
416	1951	2728
417	1956	2724
418	1961	2719
419	1965	2714
420	1969	2708
421	1973	2702
422	1977	2697
423	1982	2693
424	1987	2688
425	1992	2684
426	1996	2679
427	2001	2675
428	2006	2670
429	2011	2665
430	2015	2661
431	2020	2656
432	2024	2651
433	2028	2645
434	2033	2640
435	2036	2634
