iter	Passed	Remaining
0	209	209738
1	225	112618
2	234	77776
3	242	60415
4	251	50004
5	257	42688
6	262	37274
7	267	33161
8	272	29950
9	276	27368
10	281	25314
11	286	23570
12	290	22057
13	294	20764
14	299	19657
15	303	18677
16	308	17825
17	312	17053
18	316	16345
19	320	15715
20	324	15141
21	330	14692
22	335	14235
23	339	13806
24	343	13412
25	348	13052
26	352	12718
27	357	12405
28	362	12136
29	368	11918
30	373	11680
31	378	11456
32	383	11227
33	388	11038
34	394	10880
35	399	10708
36	404	10538
37	410	10383
38	415	10226
39	419	10078
40	424	9928
41	428	9783
42	433	9645
43	437	9515
44	442	9383
45	446	9267
46	451	9148
47	455	9039
48	460	8933
49	464	8834
50	469	8732
51	474	8641
52	478	8553
53	483	8465
54	487	8377
55	492	8296
56	496	8209
57	500	8130
58	504	8052
59	509	7981
60	514	7919
61	519	7852
62	523	7790
63	528	7727
64	533	7670
65	537	7610
66	541	7543
67	546	7487
68	550	7431
69	555	7385
70	560	7334
71	565	7287
72	570	7239
73	575	7196
74	581	7166
75	586	7125
76	591	7085
77	596	7046
78	601	7011
79	606	6970
80	611	6933
81	616	6898
82	620	6860
83	625	6824
84	630	6791
85	635	6757
86	641	6728
87	646	6695
88	650	6658
89	655	6629
90	661	6607
91	666	6576
92	671	6546
93	676	6516
94	681	6488
95	685	6456
96	690	6424
97	694	6395
98	699	6367
99	704	6341
100	710	6324
101	716	6304
102	721	6284
103	726	6260
104	731	6237
105	736	6212
106	742	6197
107	748	6182
108	753	6162
109	759	6148
110	765	6130
111	770	6110
112	775	6090
113	780	6067
114	785	6043
115	789	6019
116	794	5997
117	799	5973
118	803	5950
119	808	5931
120	813	5908
121	818	5888
122	822	5866
123	826	5841
124	831	5818
125	836	5799
126	841	5783
127	846	5765
128	851	5746
129	855	5726
130	860	5711
131	866	5697
132	871	5680
133	876	5661
134	881	5645
135	886	5630
136	890	5610
137	895	5592
138	900	5577
139	905	5561
140	909	5542
141	914	5524
142	918	5505
143	922	5485
144	927	5470
145	932	5456
146	937	5439
147	942	5423
148	947	5410
149	951	5393
150	957	5384
151	963	5374
152	968	5361
153	973	5347
154	978	5333
155	983	5320
156	989	5314
157	995	5307
158	1001	5298
159	1006	5282
160	1011	5271
161	1016	5258
162	1021	5246
163	1026	5234
164	1032	5227
165	1038	5215
166	1043	5202
167	1048	5191
168	1055	5191
169	1063	5192
170	1070	5188
171	1076	5181
172	1084	5183
173	1090	5178
174	1097	5172
175	1103	5167
176	1111	5169
177	1118	5165
178	1124	5156
179	1132	5159
180	1138	5152
181	1144	5142
182	1149	5129
183	1154	5119
184	1160	5112
185	1166	5103
186	1170	5089
187	1176	5080
188	1181	5069
189	1186	5056
190	1191	5044
191	1195	5032
192	1201	5024
193	1207	5016
194	1213	5009
195	1219	5004
196	1225	4994
197	1230	4983
198	1236	4975
199	1241	4964
200	1245	4952
201	1250	4938
202	1254	4927
203	1259	4916
204	1264	4904
205	1269	4892
206	1274	4881
207	1278	4870
208	1284	4861
209	1289	4849
210	1294	4838
211	1298	4825
212	1303	4814
213	1308	4804
214	1312	4793
215	1317	4783
216	1322	4773
217	1327	4763
218	1333	4756
219	1340	4753
220	1346	4745
221	1351	4737
222	1357	4729
223	1364	4725
224	1369	4716
225	1375	4710
226	1381	4704
227	1388	4701
228	1393	4690
229	1398	4682
230	1403	4670
231	1408	4662
232	1413	4654
233	1418	4644
234	1423	4633
235	1428	4625
236	1434	4618
237	1440	4610
238	1445	4601
239	1450	4594
240	1457	4588
241	1462	4581
242	1467	4572
243	1473	4564
244	1478	4556
245	1483	4548
246	1489	4541
247	1494	4532
248	1500	4524
249	1504	4513
250	1511	4509
251	1517	4503
252	1523	4498
253	1529	4492
254	1536	4487
255	1542	4481
256	1548	4476
257	1554	4469
258	1558	4459
259	1564	4452
260	1569	4443
261	1574	4436
262	1579	4426
263	1584	4416
264	1589	4408
265	1594	4399
266	1599	4391
267	1604	4381
268	1609	4373
269	1614	4365
270	1619	4355
271	1623	4346
272	1628	4337
273	1635	4332
274	1640	4326
275	1646	4318
276	1652	4312
277	1659	4309
278	1666	4305
279	1673	4302
280	1679	4297
281	1686	4293
282	1692	4287
283	1698	4281
284	1703	4273
285	1708	4265
286	1713	4257
287	1719	4249
288	1725	4244
289	1730	4237
290	1736	4231
291	1743	4226
292	1749	4220
293	1754	4212
294	1760	4206
295	1765	4199
296	1771	4192
297	1776	4184
298	1781	4176
299	1786	4169
300	1793	4164
301	1799	4159
302	1806	4156
303	1813	4150
304	1819	4145
305	1825	4140
306	1830	4132
307	1836	4126
308	1842	4121
309	1848	4113
310	1854	4107
311	1859	4100
312	1864	4092
313	1869	4084
314	1874	4076
315	1879	4068
316	1884	4059
317	1889	4052
318	1894	4043
319	1898	4033
320	1903	4025
321	1907	4015
322	1911	4006
323	1916	3998
324	1921	3990
325	1925	3981
326	1930	3972
327	1934	3963
328	1939	3954
329	1943	3945
330	1947	3936
331	1952	3928
332	1956	3919
333	1961	3911
334	1965	3902
335	1970	3894
336	1975	3886
337	1980	3879
338	1985	3871
339	1990	3863
340	1995	3856
341	2000	3848
342	2004	3839
343	2010	3833
344	2015	3825
345	2020	3819
346	2025	3811
347	2029	3802
348	2033	3793
349	2038	3785
350	2042	3777
351	2047	3769
352	2051	3761
353	2056	3753
354	2061	3745
355	2066	3738
356	2071	3730
357	2076	3723
358	2081	3715
359	2085	3707
360	2089	3698
361	2094	3692
362	2099	3684
363	2104	3677
364	2109	3669
365	2113	3661
366	2118	3654
367	2122	3645
368	2127	3638
369	2132	3630
370	2136	3622
371	2140	3614
372	2145	3606
373	2149	3597
374	2154	3590
375	2158	3582
376	2162	3573
377	2167	3566
378	2171	3558
379	2176	3550
380	2180	3543
381	2185	3536
382	2190	3529
383	2195	3521
384	2200	3514
385	2204	3507
386	2209	3500
387	2214	3493
388	2219	3485
389	2223	3478
390	2228	3470
391	2233	3463
392	2237	3456
393	2242	3448
394	2246	3441
395	2251	3433
396	2254	3425
397	2259	3417
398	2263	3409
399	2268	3402
400	2272	3394
401	2276	3386
402	2281	3379
403	2285	3371
404	2289	3364
405	2294	3356
406	2298	3349
407	2302	3341
408	2307	3334
409	2312	3327
410	2316	3320
411	2321	3313
412	2326	3306
413	2330	3299
414	2336	3293
415	2340	3286
416	2344	3278
417	2349	3270
418	2353	3263
419	2358	3256
420	2362	3248
421	2366	3241
422	2371	3235
423	2376	3228
424	2381	3222
425	2386	3215
426	2391	3209
427	2396	3202
428	2401	3196
429	2405	3189
430	2410	3182
431	2415	3175
432	2419	3168
433	2424	3161
434	2429	3155
435	2433	3148
436	2438	3142
437	2443	3134
438	2447	3127
439	2452	3120
440	2456	3113
441	2460	3106
442	2464	3099
443	2469	3092
444	2474	3086
445	2479	3080
446	2484	3073
447	2489	3066
448	2494	3061
449	2498	3054
450	2503	3046
451	2507	3040
452	2512	3033
453	2516	3026
454	2521	3020
455	2526	3014
456	2531	3007
457	2536	3001
458	2541	2996
459	2547	2990
460	2552	2983
461	2555	2976
462	2560	2969
463	2564	2962
464	2569	2956
465	2574	2949
466	2578	2942
467	2582	2935
468	2587	2929
469	2592	2922
470	2596	2916
471	2600	2909
472	2605	2903
473	2610	2896
474	2615	2890
475	2619	2884
476	2624	2877
477	2628	2870
478	2632	2863
479	2637	2857
480	2642	2850
481	2647	2844
482	2651	2838
483	2655	2831
484	2659	2824
485	2664	2817
486	2668	2810
487	2672	2804
488	2677	2797
489	2681	2791
490	2686	2784
491	2690	2778
492	2695	2771
493	2699	2764
494	2704	2758
495	2708	2752
496	2712	2745
497	2716	2738
498	2721	2732
499	2725	2725
500	2729	2719
501	2734	2712
502	2739	2706
503	2744	2700
504	2749	2695
505	2755	2690
506	2762	2685
507	2768	2681
508	2773	2675
509	2779	2670
510	2786	2666
511	2792	2661
512	2798	2656
513	2804	2652
514	2810	2647
515	2816	2641
516	2822	2636
517	2828	2631
518	2833	2626
519	2838	2620
520	2844	2615
521	2849	2609
522	2854	2603
523	2859	2597
524	2864	2591
525	2869	2585
526	2874	2579
527	2878	2573
528	2883	2567
529	2888	2561
530	2892	2555
531	2897	2549
532	2902	2543
533	2907	2537
534	2912	2531
535	2917	2526
536	2922	2520
537	2927	2513
538	2932	2508
539	2938	2502
540	2942	2496
541	2947	2490
542	2953	2485
543	2959	2480
544	2964	2474
545	2969	2469
546	2974	2463
547	2978	2456
548	2982	2450
549	2987	2443
550	2991	2437
551	2996	2431
552	3001	2425
553	3005	2419
554	3009	2413
555	3014	2407
556	3018	2400
557	3022	2394
558	3027	2388
559	3032	2382
560	3037	2376
561	3041	2370
562	3046	2364
563	3050	2358
564	3054	2351
565	3059	2345
566	3063	2339
567	3068	2334
568	3073	2327
569	3078	2322
570	3082	2316
571	3087	2310
572	3093	2305
573	3098	2299
574	3104	2294
575	3110	2289
576	3115	2284
577	3121	2278
578	3126	2273
579	3131	2267
580	3135	2261
581	3140	2255
582	3145	2249
583	3149	2243
584	3154	2237
585	3159	2231
586	3163	2225
587	3167	2219
588	3172	2213
589	3177	2207
590	3181	2201
591	3186	2195
592	3190	2189
593	3195	2184
594	3200	2178
595	3204	2172
596	3209	2166
597	3213	2160
598	3218	2154
599	3223	2148
600	3227	2143
601	3232	2137
602	3238	2131
603	3242	2125
604	3247	2119
605	3251	2114
606	3256	2108
607	3261	2102
608	3266	2097
609	3270	2091
610	3275	2085
611	3281	2080
612	3286	2074
613	3291	2069
614	3296	2063
615	3300	2057
616	3305	2051
617	3310	2046
618	3316	2041
619	3321	2035
620	3325	2029
621	3329	2023
622	3335	2018
623	3342	2013
624	3347	2008
625	3353	2003
626	3358	1998
627	3364	1992
628	3369	1987
629	3374	1981
630	3379	1976
631	3385	1971
632	3390	1965
633	3394	1959
634	3399	1953
635	3404	1948
636	3408	1942
637	3414	1937
638	3419	1931
639	3424	1926
640	3429	1920
641	3434	1915
642	3438	1909
643	3442	1903
644	3446	1897
645	3451	1891
646	3455	1885
647	3460	1879
648	3464	1873
649	3468	1867
650	3472	1861
651	3476	1855
652	3481	1849
653	3486	1844
654	3491	1839
655	3496	1833
656	3501	1827
657	3506	1822
658	3511	1816
659	3515	1811
660	3520	1805
661	3525	1799
662	3530	1794
663	3534	1788
664	3539	1782
665	3543	1776
666	3547	1770
667	3551	1765
668	3555	1759
669	3560	1753
670	3564	1747
671	3569	1742
672	3574	1736
673	3578	1730
674	3583	1725
675	3587	1719
676	3592	1714
677	3597	1708
678	3601	1702
679	3606	1697
680	3611	1691
681	3616	1686
682	3620	1680
683	3625	1674
684	3629	1669
685	3634	1663
686	3638	1657
687	3643	1652
688	3647	1646
689	3652	1640
690	3657	1635
691	3661	1629
692	3666	1624
693	3670	1618
694	3675	1612
695	3679	1607
696	3684	1601
697	3688	1595
698	3693	1590
699	3698	1584
700	3702	1579
701	3706	1573
702	3711	1568
703	3715	1562
704	3720	1556
705	3725	1551
706	3730	1546
707	3735	1540
708	3740	1535
709	3746	1530
710	3751	1525
711	3757	1520
712	3763	1515
713	3769	1510
714	3775	1504
715	3781	1499
716	3785	1494
717	3790	1488
718	3795	1483
719	3800	1478
720	3805	1472
721	3810	1467
722	3815	1461
723	3820	1456
724	3825	1450
725	3830	1445
726	3835	1440
727	3840	1434
728	3845	1429
729	3850	1424
730	3855	1418
731	3860	1413
732	3864	1407
733	3870	1402
734	3874	1396
735	3879	1391
736	3884	1386
737	3889	1380
738	3893	1375
739	3897	1369
740	3902	1364
741	3907	1358
742	3912	1353
743	3916	1347
